word1,word2,combined,frequency
ಹೊರಗೆ,ಕಳುಹಿಸುವಂತೆ,ಹೊರಗೆಕಳುಹಿಸುವಂತೆ,low
ಕಳುಹಿಸುವಂತೆ,ಆಗುತ್ತದೆ,ಕಳುಹಿಸುವಂತೆಆಗುತ್ತದೆ,low
ಆಗುತ್ತದೆ,ಚಂದ್ರಶೇಖರ್,ಆಗುತ್ತದೆಚಂದ್ರಶೇಖರ್,low
ರಾವ್,ಹೃದಯಾಘಾತದಿಂದ,ರಾವ್ಹೃದಯಾಘಾತದಿಂದ,low
ಹೃದಯಾಘಾತದಿಂದ,ಸಾಯುತ್ತಾನೆ,ಹೃದಯಾಘಾತದಿಂದಸಾಯುತ್ತಾನೆ,low
ಸಾಯುತ್ತಾನೆ,ಕೋಟಯ್ಯನ,ಸಾಯುತ್ತಾನೆಕೋಟಯ್ಯನ,low
ಕೋಟಯ್ಯನ,ಬಾಲಕೃಷ್ಣ,ಕೋಟಯ್ಯನಬಾಲಕೃಷ್ಣ,low
ಬಾಲಕೃಷ್ಣ,ಸಹಾಯದಿಂದ,ಬಾಲಕೃಷ್ಣಸಹಾಯದಿಂದ,low
ಸಹಾಯದಿಂದ,ರಂಗನು,ಸಹಾಯದಿಂದರಂಗನು,low
ರಂಗನು,ತಂಗಿಯಂತೆ,ರಂಗನುತಂಗಿಯಂತೆ,low
ತಂಗಿಯಂತೆ,ಇದ್ದ,ತಂಗಿಯಂತೆಇದ್ದ,low
ಇದ್ದ,ಗೀತಾಳನ್ನು,ಇದ್ದಗೀತಾಳನ್ನು,low
ಗೀತಾಳನ್ನು,ಮದುವೆಯಾಗಲಿರುವ,ಗೀತಾಳನ್ನುಮದುವೆಯಾಗಲಿರುವ,low
ಮದುವೆಯಾಗಲಿರುವ,ರಾಚಪ್ಪ,ಮದುವೆಯಾಗಲಿರುವರಾಚಪ್ಪ,low
ರಾಚಪ್ಪ,ಮಹದೇವಪ್ಪ,ರಾಚಪ್ಪಮಹದೇವಪ್ಪ,low
ಮಹದೇವಪ್ಪ,ಒಡೆತನದ,ಮಹದೇವಪ್ಪಒಡೆತನದ,low
ಒಡೆತನದ,ಕಾರ್ಖಾನೆಯಲ್ಲಿ,ಒಡೆತನದಕಾರ್ಖಾನೆಯಲ್ಲಿ,low
ಕಾರ್ಖಾನೆಯಲ್ಲಿ,ಕೆಲಸ,ಕಾರ್ಖಾನೆಯಲ್ಲಿಕೆಲಸ,low
ಕೆಲಸ,ಪಡೆಯುತ್ತಾನೆ,ಕೆಲಸಪಡೆಯುತ್ತಾನೆ,low
ಪಡೆಯುತ್ತಾನೆ,ರಂಗನು,ಪಡೆಯುತ್ತಾನೆರಂಗನು,low
ರಂಗನು,ಕುಟುಂಬದಲ್ಲಿನ,ರಂಗನುಕುಟುಂಬದಲ್ಲಿನ,low
ಕುಟುಂಬದಲ್ಲಿನ,ಪ್ರಕ್ಷುಬ್ಧತೆಯನ್ನು,ಕುಟುಂಬದಲ್ಲಿನಪ್ರಕ್ಷುಬ್ಧತೆಯನ್ನು,low
ಪ್ರಕ್ಷುಬ್ಧತೆಯನ್ನು,ಹೇಗೆ,ಪ್ರಕ್ಷುಬ್ಧತೆಯನ್ನುಹೇಗೆ,low
ಹೇಗೆ,ಸರಿಪಡಿಸುತ್ತಾನೆ,ಹೇಗೆಸರಿಪಡಿಸುತ್ತಾನೆ,low
ಸರಿಪಡಿಸುತ್ತಾನೆ,ಮತ್ತು,ಸರಿಪಡಿಸುತ್ತಾನೆಮತ್ತು,low
ಮತ್ತು,ಎಲ್ಲರನ್ನೂ,ಮತ್ತುಎಲ್ಲರನ್ನೂ,low
ಎಲ್ಲರನ್ನೂ,ಮತ್ತೆ,ಎಲ್ಲರನ್ನೂಮತ್ತೆ,low
ಮತ್ತೆ,ಹೇಗೆ,ಮತ್ತೆಹೇಗೆ,low
ಹೇಗೆ,ಒಂದಾಗಿಸುತ್ತಾನೆ,ಹೇಗೆಒಂದಾಗಿಸುತ್ತಾನೆ,low
ಒಂದಾಗಿಸುತ್ತಾನೆ,ಎಂಬುದೇ,ಒಂದಾಗಿಸುತ್ತಾನೆಎಂಬುದೇ,low
ಎಂಬುದೇ,ಕಥೆಯ,ಎಂಬುದೇಕಥೆಯ,low
ಕಥೆಯ,ಉಳಿದ,ಕಥೆಯಉಳಿದ,low
ಉಳಿದ,ಸಾರಾಂಶ,ಉಳಿದಸಾರಾಂಶ,low
ಸಾರಾಂಶ,ಉಲ್ಲೇಖಗಳು,ಸಾರಾಂಶಉಲ್ಲೇಖಗಳು,low
ನಿಕೋಲಸ್,ಕೋಪರ್ನಿಕಸ್,ನಿಕೋಲಸ್ಕೋಪರ್ನಿಕಸ್,low
ಕೋಪರ್ನಿಕಸ್,೧೯,ಕೋಪರ್ನಿಕಸ್೧೯,low
೧೯,ಫೆಬ್ರುವರಿ,೧೯ಫೆಬ್ರುವರಿ,low
ಫೆಬ್ರುವರಿ,೧೪೭೩,ಫೆಬ್ರುವರಿ೧೪೭೩,low
೧೪೭೩,೨೪,೧೪೭೩೨೪,low
೨೪,ಮೇ,೨೪ಮೇ,low
ಮೇ,೧೫೪೩,ಮೇ೧೫೪೩,low
೧೫೪೩,ಒಬ್ಬ,೧೫೪೩ಒಬ್ಬ,low
ಒಬ್ಬ,ಖ್ಯಾತ,ಒಬ್ಬಖ್ಯಾತ,low
ಖ್ಯಾತ,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ,ಖ್ಯಾತಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ,low
ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ,ಪೋಲೆಂಡಿನ,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞಪೋಲೆಂಡಿನ,low
ಪೋಲೆಂಡಿನ,ಇವರನ್ನು,ಪೋಲೆಂಡಿನಇವರನ್ನು,low
ಇವರನ್ನು,ಆಧುನಿಕ,ಇವರನ್ನುಆಧುನಿಕ,low
ಆಧುನಿಕ,ಖಗೋಳಶಾಸ್ತ್ರದ,ಆಧುನಿಕಖಗೋಳಶಾಸ್ತ್ರದ,low
ಖಗೋಳಶಾಸ್ತ್ರದ,ಪಿತಾಮಹ,ಖಗೋಳಶಾಸ್ತ್ರದಪಿತಾಮಹ,low
ಪಿತಾಮಹ,ಎನ್ನುವರು,ಪಿತಾಮಹಎನ್ನುವರು,low
ಎನ್ನುವರು,ಇವರು,ಎನ್ನುವರುಇವರು,low
ಇವರು,ಪ್ರಥಮವಾಗಿ,ಇವರುಪ್ರಥಮವಾಗಿ,low
ಪ್ರಥಮವಾಗಿ,ಭೂಮಿಯು,ಪ್ರಥಮವಾಗಿಭೂಮಿಯು,low
ಭೂಮಿಯು,ಒಂದು,ಭೂಮಿಯುಒಂದು,low
ಒಂದು,ಚಲಿಸುತ್ತಿರುವ,ಒಂದುಚಲಿಸುತ್ತಿರುವ,low
ಚಲಿಸುತ್ತಿರುವ,ಗ್ರಹ,ಚಲಿಸುತ್ತಿರುವಗ್ರಹ,low
ಗ್ರಹ,ಎಂದು,ಗ್ರಹಎಂದು,low
ಎಂದು,ಪ್ರತಿಪಾದಿಸಿದರು,ಎಂದುಪ್ರತಿಪಾದಿಸಿದರು,low
ಪ್ರತಿಪಾದಿಸಿದರು,ಬಾಲ್ಯ,ಪ್ರತಿಪಾದಿಸಿದರುಬಾಲ್ಯ,low
ಬಾಲ್ಯ,ಕೋಪರ್ನಿಕಸ್,ಬಾಲ್ಯಕೋಪರ್ನಿಕಸ್,low
ಕೋಪರ್ನಿಕಸ್,೧೪೭೩ರಲ್ಲಿ,ಕೋಪರ್ನಿಕಸ್೧೪೭೩ರಲ್ಲಿ,low
೧೪೭೩ರಲ್ಲಿ,ಪೋಲೆಂಡಿನ,೧೪೭೩ರಲ್ಲಿಪೋಲೆಂಡಿನ,low
ಪೋಲೆಂಡಿನ,ಥಾರ್ನ್,ಪೋಲೆಂಡಿನಥಾರ್ನ್,low
ಥಾರ್ನ್,ಎಂಬ,ಥಾರ್ನ್ಎಂಬ,low
ಎಂಬ,ಪಟ್ಟಣದಲ್ಲಿ,ಎಂಬಪಟ್ಟಣದಲ್ಲಿ,low
ಪಟ್ಟಣದಲ್ಲಿ,ವರ್ತಕನೊಬ್ಬನ,ಪಟ್ಟಣದಲ್ಲಿವರ್ತಕನೊಬ್ಬನ,low
ವರ್ತಕನೊಬ್ಬನ,ಮಗನಾಗಿ,ವರ್ತಕನೊಬ್ಬನಮಗನಾಗಿ,low
ಮಗನಾಗಿ,ಜನಿಸಿದನು,ಮಗನಾಗಿಜನಿಸಿದನು,low
ಜನಿಸಿದನು,ಈತನ,ಜನಿಸಿದನುಈತನ,low
ಈತನ,ಪೂರ್ವಜರು,ಈತನಪೂರ್ವಜರು,low
ಪೂರ್ವಜರು,ಪೋಲೆಂಡಿನಲ್ಲಿ,ಪೂರ್ವಜರುಪೋಲೆಂಡಿನಲ್ಲಿ,low
ಪೋಲೆಂಡಿನಲ್ಲಿ,ನೆಲೆಸಿದ್ದ,ಪೋಲೆಂಡಿನಲ್ಲಿನೆಲೆಸಿದ್ದ,low
ನೆಲೆಸಿದ್ದ,ಜರ್ಮನರು,ನೆಲೆಸಿದ್ದಜರ್ಮನರು,low
ಜರ್ಮನರು,ಎಳವೆಯಲ್ಲೇ,ಜರ್ಮನರುಎಳವೆಯಲ್ಲೇ,low
ಎಳವೆಯಲ್ಲೇ,ಕೊಪರ್ನಿಕಸ್,ಎಳವೆಯಲ್ಲೇಕೊಪರ್ನಿಕಸ್,low
ಕೊಪರ್ನಿಕಸ್,ತನ್ನ,ಕೊಪರ್ನಿಕಸ್ತನ್ನ,low
ತನ್ನ,ತಂದೆಯನ್ನು,ತನ್ನತಂದೆಯನ್ನು,low
ತಂದೆಯನ್ನು,ಕಳೆದುಕೊಂಡು,ತಂದೆಯನ್ನುಕಳೆದುಕೊಂಡು,low
ಕಳೆದುಕೊಂಡು,ಬಿಷಪ್,ಕಳೆದುಕೊಂಡುಬಿಷಪ್,low
ಬಿಷಪ್,ಆಗಿದ್ದ,ಬಿಷಪ್ಆಗಿದ್ದ,low
ಆಗಿದ್ದ,ಚಿಕ್ಕಪ್ಪನ,ಆಗಿದ್ದಚಿಕ್ಕಪ್ಪನ,low
ಚಿಕ್ಕಪ್ಪನ,ಆಸರೆಯಲ್ಲಿ,ಚಿಕ್ಕಪ್ಪನಆಸರೆಯಲ್ಲಿ,low
ಆಸರೆಯಲ್ಲಿ,ಬೆಳೆದ,ಆಸರೆಯಲ್ಲಿಬೆಳೆದ,low
ಬೆಳೆದ,ಕೋಪರ್ನಿಕಸ್,ಬೆಳೆದಕೋಪರ್ನಿಕಸ್,low
ಕೋಪರ್ನಿಕಸ್,ಕ್ರಾಕೋ,ಕೋಪರ್ನಿಕಸ್ಕ್ರಾಕೋ,low
ಕ್ರಾಕೋ,ವಿಶ,ಕ್ರಾಕೋವಿಶ,low
ವಿಶ,್ವವಿದ್ಯಾನಿಲಯದಲ್ಲಿ,ವಿಶ್ವವಿದ್ಯಾನಿಲಯದಲ್ಲಿ,low
್ವವಿದ್ಯಾನಿಲಯದಲ್ಲಿ,ಗಣಿತವನ್ನು,್ವವಿದ್ಯಾನಿಲಯದಲ್ಲಿಗಣಿತವನ್ನು,low
ಗಣಿತವನ್ನು,ವ್ಯಾಸಂಗ,ಗಣಿತವನ್ನುವ್ಯಾಸಂಗ,low
ವ್ಯಾಸಂಗ,ಮಾಡಿ,ವ್ಯಾಸಂಗಮಾಡಿ,low
ಮಾಡಿ,ಅನಂತರ,ಮಾಡಿಅನಂತರ,low
ಅನಂತರ,ಇಟಲಿಯ,ಅನಂತರಇಟಲಿಯ,low
ಇಟಲಿಯ,ಬೊಲೋನಾದಲ್ಲಿ,ಇಟಲಿಯಬೊಲೋನಾದಲ್ಲಿ,low
ಬೊಲೋನಾದಲ್ಲಿ,ಕ್ರೈಸ್ತ,ಬೊಲೋನಾದಲ್ಲಿಕ್ರೈಸ್ತ,low
ಕ್ರೈಸ್ತ,ಚರ್ಚಿನ,ಕ್ರೈಸ್ತಚರ್ಚಿನ,low
ಚರ್ಚಿನ,ಕಾನೂನನ್ನೂ,ಚರ್ಚಿನಕಾನೂನನ್ನೂ,low
ಕಾನೂನನ್ನೂ,ಖಗೋಳಶಾಸ್ತ್ರವನ್ನೂ,ಕಾನೂನನ್ನೂಖಗೋಳಶಾಸ್ತ್ರವನ್ನೂ,low
ಖಗೋಳಶಾಸ್ತ್ರವನ್ನೂ,ಪಾದುವಾದಲ್ಲಿ,ಖಗೋಳಶಾಸ್ತ್ರವನ್ನೂಪಾದುವಾದಲ್ಲಿ,low
ಪಾದುವಾದಲ್ಲಿ,ವೈದ್ಯಶಾಸ್ತ್ರವನ್ನೂ,ಪಾದುವಾದಲ್ಲಿವೈದ್ಯಶಾಸ್ತ್ರವನ್ನೂ,low
ವೈದ್ಯಶಾಸ್ತ್ರವನ್ನೂ,ವ್ಯಾಸಂಗಮಾಡಿದ,ವೈದ್ಯಶಾಸ್ತ್ರವನ್ನೂವ್ಯಾಸಂಗಮಾಡಿದ,low
ವ್ಯಾಸಂಗಮಾಡಿದ,೧೫೦೦ರಲ್ಲಿ,ವ್ಯಾಸಂಗಮಾಡಿದ೧೫೦೦ರಲ್ಲಿ,low
೧೫೦೦ರಲ್ಲಿ,ರೋಮಿಗೆ,೧೫೦೦ರಲ್ಲಿರೋಮಿಗೆ,low
ರೋಮಿಗೆ,ಬಂದು,ರೋಮಿಗೆಬಂದು,low
ಬಂದು,ಅಲ್ಲಿ,ಬಂದುಅಲ್ಲಿ,low
ಅಲ್ಲಿ,ಗಣಿತವನ್ನೂ,ಅಲ್ಲಿಗಣಿತವನ್ನೂ,low
ಗಣಿತವನ್ನೂ,ಖಗೋಳ,ಗಣಿತವನ್ನೂಖಗೋಳ,low
ಖಗೋಳ,ಶಾಸ್ತ್ರವನ್ನೂ,ಖಗೋಳಶಾಸ್ತ್ರವನ್ನೂ,low
ಶಾಸ್ತ್ರವನ್ನೂ,ಕೆಲವು,ಶಾಸ್ತ್ರವನ್ನೂಕೆಲವು,low
ಕೆಲವು,ಕಾಲ,ಕೆಲವುಕಾಲ,low
ಕಾಲ,ಕಲಿಸಿ,ಕಾಲಕಲಿಸಿ,low
ಕಲಿಸಿ,ಪ್ರಷ್ಯಾದ,ಕಲಿಸಿಪ್ರಷ್ಯಾದ,low
ಪ್ರಷ್ಯಾದ,ಫ್ರೌವೆನ್,ಪ್ರಷ್ಯಾದಫ್ರೌವೆನ್,low
ಫ್ರೌವೆನ್,ಬರ್ಗ್,ಫ್ರೌವೆನ್ಬರ್ಗ್,low
ಬರ್ಗ್,ಗೆ,ಬರ್ಗ್ಗೆ,low
ಗೆ,ವಾಪಸಾಗಿ,ಗೆವಾಪಸಾಗಿ,low
ವಾಪಸಾಗಿ,ಅಲ್ಲಿಯ,ವಾಪಸಾಗಿಅಲ್ಲಿಯ,low
ಅಲ್ಲಿಯ,ಕೆಥೀಡ್ರಲಿನಲ್ಲಿ,ಅಲ್ಲಿಯಕೆಥೀಡ್ರಲಿನಲ್ಲಿ,low
ಕೆಥೀಡ್ರಲಿನಲ್ಲಿ,ಪಾದ್ರಿಯಾಗಿ,ಕೆಥೀಡ್ರಲಿನಲ್ಲಿಪಾದ್ರಿಯಾಗಿ,low
ಪಾದ್ರಿಯಾಗಿ,ನೆಲೆಸಿದ,ಪಾದ್ರಿಯಾಗಿನೆಲೆಸಿದ,low
ನೆಲೆಸಿದ,ಖಗೋಳವಿಜ್ಞಾನಿಯಾಗಿ,ನೆಲೆಸಿದಖಗೋಳವಿಜ್ಞಾನಿಯಾಗಿ,low
ಖಗೋಳವಿಜ್ಞಾನಿಯಾಗಿ,ಆಗ,ಖಗೋಳವಿಜ್ಞಾನಿಯಾಗಿಆಗ,low
ಆಗ,ಪ್ರಚಾರದಲ್ಲಿದ್ದ,ಆಗಪ್ರಚಾರದಲ್ಲಿದ್ದ,low
ಪ್ರಚಾರದಲ್ಲಿದ್ದ,ಭೂಕೇಂದ್ರವಾದವನ್ನು,ಪ್ರಚಾರದಲ್ಲಿದ್ದಭೂಕೇಂದ್ರವಾದವನ್ನು,low
ಭೂಕೇಂದ್ರವಾದವನ್ನು,ಈತ,ಭೂಕೇಂದ್ರವಾದವನ್ನುಈತ,low
ಈತ,ನಿರಾಕರಿಸಿ,ಈತನಿರಾಕರಿಸಿ,low
ನಿರಾಕರಿಸಿ,ಸೂರ್ಯನೇ,ನಿರಾಕರಿಸಿಸೂರ್ಯನೇ,low
ಸೂರ್ಯನೇ,ಕೇಂದ್ರ,ಸೂರ್ಯನೇಕೇಂದ್ರ,low
ಕೇಂದ್ರ,ಬಿಂದು,ಕೇಂದ್ರಬಿಂದು,low
ಬಿಂದು,ಅದರ,ಬಿಂದುಅದರ,low
ಅದರ,ಸುತ್ತು,ಅದರಸುತ್ತು,low
ಸುತ್ತು,ಉಳಿದೆಲ್ಲಾ,ಸುತ್ತುಉಳಿದೆಲ್ಲಾ,low
ಉಳಿದೆಲ್ಲಾ,ಗ್ರಹಗಳು,ಉಳಿದೆಲ್ಲಾಗ್ರಹಗಳು,low
ಗ್ರಹಗಳು,ಸುತ್ತುತ್ತವೆ,ಗ್ರಹಗಳುಸುತ್ತುತ್ತವೆ,low
ಸುತ್ತುತ್ತವೆ,ಅವುಗಳ,ಸುತ್ತುತ್ತವೆಅವುಗಳ,low
ಅವುಗಳ,ಪೈಕಿ,ಅವುಗಳಪೈಕಿ,low
ಪೈಕಿ,ಭೂಮಿ,ಪೈಕಿಭೂಮಿ,low
ಭೂಮಿ,ಒಂದೆಂದೂ,ಭೂಮಿಒಂದೆಂದೂ,low
ಒಂದೆಂದೂ,ಸಾರಿದ,ಒಂದೆಂದೂಸಾರಿದ,low
ಸಾರಿದ,ಎಂದು,ಸಾರಿದಎಂದು,low
ಎಂದು,ಜಗತ್ತಿಗೆ,ಎಂದುಜಗತ್ತಿಗೆ,low
ಜಗತ್ತಿಗೆ,ತೋರಿಸಿಕೊಟ್ಟರು,ಜಗತ್ತಿಗೆತೋರಿಸಿಕೊಟ್ಟರು,low
ತೋರಿಸಿಕೊಟ್ಟರು,ಆದ್ದರಿಂದ,ತೋರಿಸಿಕೊಟ್ಟರುಆದ್ದರಿಂದ,low
ಆದ್ದರಿಂದ,ಕೊಪರ್ನಿಕಸ್,ಆದ್ದರಿಂದಕೊಪರ್ನಿಕಸ್,low
ಕೊಪರ್ನಿಕಸ್,ಸೂರ್ಯಕೇಂದ್ರವಾದವನ್ನು,ಕೊಪರ್ನಿಕಸ್ಸೂರ್ಯಕೇಂದ್ರವಾದವನ್ನು,low
ಸೂರ್ಯಕೇಂದ್ರವಾದವನ್ನು,ಪ್ರತಿಪಾದಿಸಿದ,ಸೂರ್ಯಕೇಂದ್ರವಾದವನ್ನುಪ್ರತಿಪಾದಿಸಿದ,low
ಪ್ರತಿಪಾದಿಸಿದ,ಖಗೋಳಜ್ಞನೆಂದು,ಪ್ರತಿಪಾದಿಸಿದಖಗೋಳಜ್ಞನೆಂದು,low
ಖಗೋಳಜ್ಞನೆಂದು,ಖ್ಯಾತಿ,ಖಗೋಳಜ್ಞನೆಂದುಖ್ಯಾತಿ,low
ಖ್ಯಾತಿ,ಪಡೆದಿದ್ದಾನೆ,ಖ್ಯಾತಿಪಡೆದಿದ್ದಾನೆ,low
ಪಡೆದಿದ್ದಾನೆ,ಕೋಪರ್,ಪಡೆದಿದ್ದಾನೆಕೋಪರ್,low
ಕೋಪರ್,ನಿಕಸ್,ಕೋಪರ್ನಿಕಸ್,low
ನಿಕಸ್,ಭೂಮಿ,ನಿಕಸ್ಭೂಮಿ,low
ಭೂಮಿ,ತನ್ನ,ಭೂಮಿತನ್ನ,low
ತನ್ನ,ಅಕ್ಷದ,ತನ್ನಅಕ್ಷದ,low
ಅಕ್ಷದ,ಸುತ್ತ,ಅಕ್ಷದಸುತ್ತ,low
ಸುತ್ತ,ತಿರುಗುತ್ತಿರುವುದು,ಸುತ್ತತಿರುಗುತ್ತಿರುವುದು,low
ಕಾರಣದಿಂದಲೇ,ಹಗಲು,ಕಾರಣದಿಂದಲೇಹಗಲು,low
ಹಗಲು,ರಾತ್ರಿಗಳಾಗುತ್ತವೆ,ಹಗಲುರಾತ್ರಿಗಳಾಗುತ್ತವೆ,low
ರಾತ್ರಿಗಳಾಗುತ್ತವೆ,ಎಂಬುದನ್ನು,ರಾತ್ರಿಗಳಾಗುತ್ತವೆಎಂಬುದನ್ನು,low
ಎಂಬುದನ್ನು,ಕಂಡು,ಎಂಬುದನ್ನುಕಂಡು,low
ಕಂಡು,ಹಿಡಿದ,ಕಂಡುಹಿಡಿದ,low
ಹಿಡಿದ,ನಕ್ಷತ್ರಗಳು,ಹಿಡಿದನಕ್ಷತ್ರಗಳು,low
ನಕ್ಷತ್ರಗಳು,ನಮ್ಮಿಂದ,ನಕ್ಷತ್ರಗಳುನಮ್ಮಿಂದ,low
ನಮ್ಮಿಂದ,ಅಗಾಧ,ನಮ್ಮಿಂದಅಗಾಧ,low
ಅಗಾಧ,ದೂರಗಳಲ್ಲಿವೆಯೆಂದೂ,ಅಗಾಧದೂರಗಳಲ್ಲಿವೆಯೆಂದೂ,low
ದೂರಗಳಲ್ಲಿವೆಯೆಂದೂ,ಈತ,ದೂರಗಳಲ್ಲಿವೆಯೆಂದೂಈತ,low
ಈತ,ಘೋಷಿಸಿದ,ಈತಘೋಷಿಸಿದ,low
ಘೋಷಿಸಿದ,ವಿಷುವದ್ಬಿಂದುಗಳ,ಘೋಷಿಸಿದವಿಷುವದ್ಬಿಂದುಗಳ,low
ವಿಷುವದ್ಬಿಂದುಗಳ,ಅಪ್ರದಕ್ಷಿಣೆ,ವಿಷುವದ್ಬಿಂದುಗಳಅಪ್ರದಕ್ಷಿಣೆ,low
ಅಪ್ರದಕ್ಷಿಣೆ,ಮತ್ತು,ಅಪ್ರದಕ್ಷಿಣೆಮತ್ತು,low
ಮತ್ತು,ಇದು,ಮತ್ತುಇದು,low
ಇದು,ಹೇಗೆ,ಇದುಹೇಗೆ,low
ಹೇಗೆ,ಋತುಗಳಿಗೆ,ಹೇಗೆಋತುಗಳಿಗೆ,low
ಋತುಗಳಿಗೆ,ಕಾರಣವಾಗುತ್ತದೆಂಬುದನ್ನೂ,ಋತುಗಳಿಗೆಕಾರಣವಾಗುತ್ತದೆಂಬುದನ್ನೂ,low
ಕಾರಣವಾಗುತ್ತದೆಂಬುದನ್ನೂ,ಈತ,ಕಾರಣವಾಗುತ್ತದೆಂಬುದನ್ನೂಈತ,low
ಈತ,ತನ್ನ,ಈತತನ್ನ,low
ತನ್ನ,ಡಿ,ತನ್ನಡಿ,low
ಡಿ,ಅರ್ಬಿಯಂ,ಡಿಅರ್ಬಿಯಂ,low
ಅರ್ಬಿಯಂ,ಸೋಲೆಸ್ಟಿಯಂ,ಅರ್ಬಿಯಂಸೋಲೆಸ್ಟಿಯಂ,low
ಸೋಲೆಸ್ಟಿಯಂ,ರಿವೊಲ್ಯೂಷನಿಬಸ್,ಸೋಲೆಸ್ಟಿಯಂರಿವೊಲ್ಯೂಷನಿಬಸ್,low
ರಿವೊಲ್ಯೂಷನಿಬಸ್,ಗ್ರಂಥದಲ್ಲಿ,ರಿವೊಲ್ಯೂಷನಿಬಸ್ಗ್ರಂಥದಲ್ಲಿ,low
ಗ್ರಂಥದಲ್ಲಿ,ವಿವರಿಸಿದ್ದಾನೆ,ಗ್ರಂಥದಲ್ಲಿವಿವರಿಸಿದ್ದಾನೆ,low
ವಿವರಿಸಿದ್ದಾನೆ,ಇಷ್ಟಾದರೂ,ವಿವರಿಸಿದ್ದಾನೆಇಷ್ಟಾದರೂ,low
ಇಷ್ಟಾದರೂ,ಗ್ರಹಕಕ್ಷೆಗಳೆಲ್ಲ,ಇಷ್ಟಾದರೂಗ್ರಹಕಕ್ಷೆಗಳೆಲ್ಲ,low
ಗ್ರಹಕಕ್ಷೆಗಳೆಲ್ಲ,ಸಂಪೂರ್ಣವೃತ್ತಗಳೆಂದು,ಗ್ರಹಕಕ್ಷೆಗಳೆಲ್ಲಸಂಪೂರ್ಣವೃತ್ತಗಳೆಂದು,low
ಸಂಪೂರ್ಣವೃತ್ತಗಳೆಂದು,ನಂಬಿ,ಸಂಪೂರ್ಣವೃತ್ತಗಳೆಂದುನಂಬಿ,low
ನಂಬಿ,ಈತ,ನಂಬಿಈತ,low
ಈತ,ವೃತ್ತ,ಈತವೃತ್ತ,low
ವೃತ್ತ,ಮತ್ತು,ವೃತ್ತಮತ್ತು,low
ಮತ್ತು,ಅಧಿವೃತ್ತಗಳ,ಮತ್ತುಅಧಿವೃತ್ತಗಳ,low
ಅಧಿವೃತ್ತಗಳ,ವಾದವನ್ನೂ,ಅಧಿವೃತ್ತಗಳವಾದವನ್ನೂ,low
ವಾದವನ್ನೂ,ಸಮರ್ಥಿಸಿದ್ದಾನೆ,ವಾದವನ್ನೂಸಮರ್ಥಿಸಿದ್ದಾನೆ,low
ಸಮರ್ಥಿಸಿದ್ದಾನೆ,ಈತನ,ಸಮರ್ಥಿಸಿದ್ದಾನೆಈತನ,low
ಈತನ,ಗ್ರಂಥ,ಈತನಗ್ರಂಥ,low
ಹೊತ್ತಿಗೆ,ಸಿದ್ಧವಾಗಿದ್ದರೂ,ಹೊತ್ತಿಗೆಸಿದ್ಧವಾಗಿದ್ದರೂ,low
ಸಿದ್ಧವಾಗಿದ್ದರೂ,ಕ್ಕೆ,ಸಿದ್ಧವಾಗಿದ್ದರೂಕ್ಕೆ,low
ಕ್ಕೆ,ಮುಂಚೆ,ಕ್ಕೆಮುಂಚೆ,low
ಮುಂಚೆ,ಅದರ,ಮುಂಚೆಅದರ,low
ಅದರ,ಪ್ರಕಟಣೆಗೆ,ಅದರಪ್ರಕಟಣೆಗೆ,low
ಪ್ರಕಟಣೆಗೆ,ಇವನು,ಪ್ರಕಟಣೆಗೆಇವನು,low
ಇವನು,ಒಪ್ಪಲಿಲ್ಲ,ಇವನುಒಪ್ಪಲಿಲ್ಲ,low
ಒಪ್ಪಲಿಲ್ಲ,ಕಡೆಯಲ್ಲಿ,ಒಪ್ಪಲಿಲ್ಲಕಡೆಯಲ್ಲಿ,low
ಕಡೆಯಲ್ಲಿ,ಅದು,ಕಡೆಯಲ್ಲಿಅದು,low
ಅದು,ಪ್ರಕಟವಾದದ್ದು,ಅದುಪ್ರಕಟವಾದದ್ದು,low
ಪ್ರಕಟವಾದದ್ದು,ರಲ್ಲಿ,ಪ್ರಕಟವಾದದ್ದುರಲ್ಲಿ,low
ರಲ್ಲಿ,ನಿಕೊಲಾಸ್,ರಲ್ಲಿನಿಕೊಲಾಸ್,low
ನಿಕೊಲಾಸ್,ಮರಣಶಯ್ಯೆಯಲ್ಲಿದ್ದಾಗ,ನಿಕೊಲಾಸ್ಮರಣಶಯ್ಯೆಯಲ್ಲಿದ್ದಾಗ,low
ಮರಣಶಯ್ಯೆಯಲ್ಲಿದ್ದಾಗ,ಮರಣ,ಮರಣಶಯ್ಯೆಯಲ್ಲಿದ್ದಾಗಮರಣ,low
ಮರಣ,ಮೇ,ಮರಣಮೇ,low
ಮೇ,ಕ್ಯಾಥೊಲಿಕ್,ಮೇಕ್ಯಾಥೊಲಿಕ್,low
ಕ್ಯಾಥೊಲಿಕ್,ಚರ್ಚ್,ಕ್ಯಾಥೊಲಿಕ್ಚರ್ಚ್,low
ಚರ್ಚ್,ಕೂಡಲೇ,ಚರ್ಚ್ಕೂಡಲೇ,low
ಕೂಡಲೇ,ಗ್ರಂಥಕ್ಕೆ,ಕೂಡಲೇಗ್ರಂಥಕ್ಕೆ,low
